,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
289,Ciudad Bolivar,100,VE,overcast clouds,81,8.12,-63.55,78.06,7.11
290,Muros,75,ES,broken clouds,93,42.78,-9.06,48.2,4.7
291,Liberal,1,US,clear sky,44,37.04,-100.92,60.8,6.93
292,Rio Verde De Mato Grosso,1,BR,clear sky,20,-18.92,-54.84,86.7,2.13
293,Vardo,100,NO,overcast clouds,83,70.37,31.11,46.54,14.5
294,San Javier,90,ES,overcast clouds,71,37.81,-0.84,61.0,3.36
295,Porto Uniao,0,BR,clear sky,58,-26.24,-51.08,69.42,1.16
296,Dzilam Gonzalez,100,MX,light rain,93,21.28,-88.93,75.99,8.1
297,Wad Rawah,0,SD,clear sky,39,15.16,33.14,85.86,5.55
298,Zhigansk,100,RU,overcast clouds,96,66.77,123.37,30.2,22.26
299,Baracoa,100,CU,light rain,84,20.35,-74.5,80.56,7.11
300,Chico,1,US,haze,37,39.73,-121.84,82.4,0.25
301,Altay,0,CN,clear sky,57,47.87,88.12,42.46,1.1
302,Airai,10,TL,clear sky,42,-8.93,125.41,77.27,6.06
303,Beira,40,MZ,scattered clouds,83,-19.84,34.84,73.4,5.82
304,Nouadhibou,0,MR,sand,77,20.93,-17.03,69.8,19.46
305,Port Macquarie,0,AU,clear sky,34,-31.43,152.92,82.0,1.99
306,Bakaly,63,RU,broken clouds,92,55.18,53.8,48.27,4.16
307,Okhotsk,47,RU,scattered clouds,50,59.38,143.3,51.3,6.26
308,Mount Gambier,11,AU,few clouds,36,-37.83,140.77,78.8,14.99
309,Male,75,MV,broken clouds,83,4.17,73.51,82.4,13.87
310,Khorixas,0,NA,clear sky,46,-20.37,14.97,49.95,0.36
311,Santa Cruz De La Palma,40,ES,scattered clouds,60,28.68,-17.76,73.4,16.11
312,Lhokseumawe,100,ID,overcast clouds,70,5.18,97.15,81.43,4.18
313,Solwezi,0,ZM,clear sky,40,-12.17,26.39,58.62,1.41
314,Ambilobe,71,MG,broken clouds,82,-13.2,49.05,70.88,4.03
315,Guerrero Negro,0,MX,clear sky,51,27.98,-114.06,79.21,10.63
316,Casper,1,US,clear sky,46,42.87,-106.31,55.99,11.41
317,Narsaq,99,GL,light rain,93,60.92,-46.05,35.6,1.12
318,Katsuura,75,JP,broken clouds,73,35.13,140.3,78.01,4.7
319,Buala,20,SB,few clouds,58,-8.14,159.59,85.3,7.67
320,Baruun-Urt,2,MN,clear sky,75,46.68,113.28,33.75,12.08
321,Broken Hill,84,AU,broken clouds,15,-31.95,141.43,87.8,14.99
322,Kongolo,2,CD,clear sky,90,-5.38,27.0,70.18,2.95
323,Bihac,99,BA,overcast clouds,76,44.82,15.87,65.07,11.77
324,Boyle,75,US,broken clouds,93,37.63,-84.87,50.0,1.28
325,Bandundu,2,CD,clear sky,90,-3.32,17.37,72.68,2.15
326,Heihe,75,CN,broken clouds,100,50.24,127.49,48.2,4.47
327,Abu Dhabi,0,AE,clear sky,78,24.47,54.37,80.6,4.7
328,Peniche,25,PT,light rain,75,39.36,-9.38,60.01,4.0
329,Gamboma,1,CG,clear sky,85,-1.88,15.86,72.03,2.71
330,Dondo,40,MZ,scattered clouds,83,-19.61,34.74,73.4,5.82
331,Tongren,99,CN,overcast clouds,86,27.72,109.19,74.53,3.96
332,Berezovyy,100,RU,light rain,80,51.67,135.7,46.09,6.82
333,Puerto Madryn,0,AR,clear sky,68,-42.77,-65.04,39.96,6.38
334,Ayan,100,RU,overcast clouds,65,56.45,138.17,49.93,5.73
335,Flin Flon,98,CA,overcast clouds,81,54.77,-101.86,40.82,5.32
336,Shar,0,KZ,clear sky,79,49.59,81.05,37.92,2.91
337,Monteagudo,100,BO,overcast clouds,44,-19.82,-63.98,70.86,1.12
338,Kandrian,67,PG,broken clouds,71,-6.22,149.55,83.21,10.04
339,Vila,38,PT,scattered clouds,92,42.03,-8.16,48.0,8.01
340,Northam,100,GB,light rain,90,51.03,-4.22,55.0,13.0
341,Arlit,100,NE,overcast clouds,23,18.74,7.39,90.48,1.63
342,San Andres,40,CO,scattered clouds,83,12.58,-81.7,80.6,4.7
343,Chifeng,0,CN,clear sky,33,42.27,118.96,58.55,11.34
344,Hambantota,20,LK,few clouds,88,6.12,81.12,80.6,10.29
345,Quimper,100,FR,overcast clouds,87,48.0,-4.1,55.4,12.75
346,Lazaro Cardenas,0,MX,clear sky,83,17.96,-102.2,79.75,5.95
347,Vulcan,70,RO,broken clouds,75,45.38,23.27,51.82,3.02
348,Locri,40,IT,scattered clouds,78,38.24,16.26,75.0,13.87
349,Zdvinsk,1,RU,clear sky,82,54.7,78.66,44.67,11.95
350,Deputatskiy,33,RU,scattered clouds,84,69.3,139.9,26.67,20.13
351,Lompoc,1,US,clear sky,49,34.64,-120.46,71.6,6.93
352,Makakilo City,20,US,moderate rain,70,21.35,-158.09,84.2,6.93
353,Turukhansk,100,RU,overcast clouds,96,65.82,87.98,42.06,6.89
354,Jieshi,83,CN,broken clouds,73,22.81,115.83,84.0,12.59
355,Andros Town,90,BS,thunderstorm,94,24.7,-77.77,77.0,4.7
356,Baikunthpur,28,IN,scattered clouds,66,23.25,82.55,76.23,2.39
357,Talcahuano,10,CL,clear sky,65,-36.72,-73.12,46.4,10.29
358,Trairi,9,BR,clear sky,78,-3.28,-39.27,78.67,12.75
359,Opuwo,100,NA,overcast clouds,33,-18.06,13.84,58.68,1.28
360,Tautira,20,PF,few clouds,69,-17.73,-149.15,82.4,18.34
361,Salamanca,79,ES,broken clouds,81,40.83,-6.0,45.0,11.41
362,Ankpa,70,NG,light rain,94,7.37,7.63,70.25,1.21
363,Fort Nelson,75,CA,broken clouds,71,58.81,-122.7,53.6,2.24
364,Thetford Mines,43,CA,scattered clouds,95,46.09,-71.3,46.99,3.11
365,Guarapari,3,BR,clear sky,83,-20.67,-40.5,78.01,13.87
366,Dunda,5,TZ,clear sky,78,-8.12,34.25,61.77,1.01
367,Pevek,100,RU,overcast clouds,82,69.7,170.31,34.11,2.39
368,Sao Joao Da Barra,0,BR,clear sky,85,-21.64,-41.05,74.89,14.92
369,Asfi,65,MA,broken clouds,86,32.3,-9.24,66.54,5.5
370,Margherita,75,IN,haze,88,27.28,95.68,80.6,6.93
371,Gigmoto,57,PH,light rain,73,13.78,124.39,85.33,4.85
372,Simbahan,0,PH,clear sky,67,6.3,120.58,84.38,2.68
373,Harlingen,1,US,clear sky,83,26.19,-97.7,75.0,8.05
374,Port Augusta,100,AU,overcast clouds,17,-32.5,137.77,89.6,24.16
375,Saint George,1,US,clear sky,5,37.1,-113.58,87.8,3.36
376,Ozernovskiy,3,RU,clear sky,77,51.5,156.52,48.11,7.11
377,Ilhabela,71,BR,broken clouds,50,-23.78,-45.36,84.45,8.99
378,Zhanaozen,100,KZ,overcast clouds,45,43.3,52.8,50.68,11.52
379,Plettenberg Bay,100,ZA,light rain,86,-34.05,23.37,58.95,18.48
380,Myitkyina,57,MM,broken clouds,90,25.38,97.4,78.62,1.36
381,Oistins,40,BB,scattered clouds,94,13.07,-59.53,75.2,27.51
382,Menongue,98,AO,overcast clouds,81,-14.66,17.69,63.73,3.15
383,Belyy Yar,81,RU,broken clouds,92,53.6,91.39,30.2,2.95
384,Constitucion,2,CL,clear sky,74,-35.33,-72.42,46.31,10.45
385,Springbok,0,ZA,clear sky,89,-29.66,17.89,41.63,3.11
386,Sabang,100,ID,overcast clouds,75,5.89,95.32,82.99,12.48
387,Spiridonovka,0,RU,clear sky,93,53.09,50.65,42.8,6.71
388,Port Hardy,20,CA,few clouds,93,50.7,-127.42,55.4,4.7
389,Puerto Del Rosario,90,ES,overcast clouds,69,28.5,-13.86,73.4,17.22
390,Havre-Saint-Pierre,90,CA,light rain,100,50.23,-63.6,46.4,2.24
391,Yumbel,30,CL,scattered clouds,65,-37.08,-72.57,46.4,10.29
392,Shenzhen,60,CN,broken clouds,74,22.55,114.07,86.0,4.0
393,Mamallapuram,75,IN,mist,83,12.63,80.17,80.6,9.17
394,Bogotol,95,RU,overcast clouds,84,56.21,89.53,35.62,10.0
395,Cap-Aux-Meules,20,CA,few clouds,93,47.38,-61.86,55.4,5.82
396,Dutse,56,NG,broken clouds,64,11.76,9.34,75.38,7.58
397,Maamba,7,ZM,clear sky,30,-17.37,27.15,72.84,2.98
398,Morondava,53,MG,broken clouds,78,-20.28,44.28,72.91,5.57
399,Cordoba,75,AR,broken clouds,44,-31.41,-64.18,59.0,14.99
400,Gladstone,0,AU,clear sky,42,-23.85,151.25,80.6,20.8
401,Zaterechnyy,100,RU,overcast clouds,56,44.79,45.21,62.87,12.26
402,Ende,11,ID,few clouds,45,-8.84,121.66,88.48,3.06
403,Bria,3,CF,clear sky,96,6.54,21.99,67.05,1.52
404,Sheltozero,85,RU,overcast clouds,89,61.37,35.37,49.68,6.08
405,Idlib,20,SY,few clouds,77,35.93,36.63,66.2,4.7
406,Canto Do Buriti,29,BR,scattered clouds,29,-8.11,-42.94,75.96,3.49
407,Las Vegas,1,US,clear sky,6,36.17,-115.14,93.2,0.67
408,Salalah,20,OM,few clouds,68,17.02,54.09,71.6,4.7
409,Mastic Beach,1,US,clear sky,81,40.77,-72.85,51.8,4.14
410,Mandera,43,KE,scattered clouds,65,3.94,41.87,77.04,13.42
411,Bergerac,100,FR,light rain,93,44.83,0.5,52.0,16.11
412,Bima,50,ID,scattered clouds,42,-8.47,118.72,94.82,3.24
413,Port-Gentil,100,GA,overcast clouds,82,-0.72,8.78,77.18,9.69
414,Kruglolesskoye,75,RU,broken clouds,72,44.66,42.81,59.0,2.24
415,Mehamn,100,NO,overcast clouds,85,71.04,27.85,46.26,14.83
416,San Patricio,75,MX,broken clouds,74,19.22,-104.7,84.2,2.15
417,Preobrazheniye,0,RU,clear sky,54,42.9,133.91,61.77,11.05
418,Krasnoarmeysk,100,RU,overcast clouds,55,51.02,45.7,52.0,1.99
419,Taltal,67,CL,broken clouds,71,-25.4,-70.48,58.08,4.61
420,Chulman,100,RU,overcast clouds,79,56.85,124.91,37.22,9.46
421,Pryazha,9,RU,fog,100,61.69,33.62,37.4,4.14
422,Bandarbeyla,80,SO,broken clouds,82,9.49,50.81,78.21,11.7
423,Manoel Urbano,25,BR,scattered clouds,73,-8.84,-69.26,77.02,1.92
424,Hervey Bay,0,AU,clear sky,50,-25.3,152.85,80.01,5.99
425,Wielun,100,PL,overcast clouds,84,51.22,18.57,55.99,17.54
426,Nongan,0,CN,clear sky,47,44.38,125.17,55.4,13.42
427,Necochea,44,AR,scattered clouds,64,-38.55,-58.74,43.0,5.99
428,Lewiston,1,US,fog,100,44.1,-70.21,48.0,4.32
429,Edson,1,CA,clear sky,58,53.58,-116.44,55.4,2.24
430,Yatou,70,CN,broken clouds,48,37.15,122.38,67.98,6.58
431,Linkou,60,CN,broken clouds,66,45.3,130.28,51.89,15.35
432,Mormugao,75,IN,mist,100,15.4,73.8,77.0,2.24
433,Skibotn,14,NO,few clouds,81,69.39,20.27,46.4,20.8
434,Ankola,100,IN,light rain,85,14.67,74.3,77.88,2.71
435,Natal,40,BR,scattered clouds,83,-5.79,-35.21,75.2,4.7
436,Tokur,100,RU,overcast clouds,65,53.13,132.9,46.33,8.3
437,Yarmouth,1,US,clear sky,87,41.71,-70.23,57.99,9.35
438,Gat,40,IL,scattered clouds,73,31.61,34.76,72.0,3.36
439,Comodoro Rivadavia,0,AR,clear sky,64,-45.87,-67.5,35.6,10.2
440,Plattsburgh,90,US,overcast clouds,93,44.7,-73.45,51.01,5.82
441,Neuquen,96,AR,overcast clouds,48,-38.95,-68.06,44.6,13.87
442,Dali,29,CN,light rain,76,25.7,100.18,68.02,3.83
443,Beyneu,0,KZ,clear sky,44,45.32,55.2,48.69,7.43
444,Nianzishan,11,CN,few clouds,63,47.52,122.88,52.05,13.27
445,Dawson Creek,1,CA,clear sky,76,55.77,-120.24,51.8,2.93
446,Liverpool,100,GB,overcast clouds,87,53.41,-2.98,54.0,11.41
447,Brunsbuttel,100,DE,overcast clouds,89,53.9,9.15,57.99,18.28
448,Vredendal,0,ZA,clear sky,67,-31.67,18.5,54.9,4.25
449,Murgab,0,TM,clear sky,53,37.5,61.97,51.8,2.24
450,Avera,1,US,clear sky,72,33.19,-82.53,59.0,3.36
451,Cuervos,1,MX,clear sky,11,32.63,-114.86,96.8,5.79
452,Viedma,83,AR,broken clouds,76,-40.81,-63.0,37.13,6.85
453,Hami,0,CN,clear sky,32,42.8,93.45,56.26,1.92
454,Jian,27,CN,scattered clouds,74,27.12,114.98,82.71,1.43
455,Raga,100,SS,overcast clouds,95,8.46,25.68,68.79,3.62
456,Barranco,100,PA,moderate rain,82,9.52,-82.7,78.24,1.36
457,Kholtoson,30,RU,scattered clouds,79,50.3,103.31,29.73,4.54
458,Suez,0,EG,clear sky,84,29.97,32.53,70.66,9.1
459,Nhamunda,91,BR,overcast clouds,51,-2.19,-56.71,84.7,1.5
460,De-Kastri,100,RU,light rain,85,51.47,140.78,51.87,2.98
461,Leningradskiy,100,RU,overcast clouds,92,69.38,178.42,33.37,13.65
462,Ginda,0,IN,mist,88,30.69,78.49,71.6,4.54
463,Urengoy,100,RU,light rain,90,65.97,78.37,40.73,18.52
464,Requena,0,ES,clear sky,66,39.49,-1.1,46.99,3.0
465,Vostok,77,RU,light rain,86,46.49,135.88,49.66,7.27
466,Balkanabat,100,TM,overcast clouds,28,39.51,54.37,63.41,10.42
467,Warrington,100,GB,overcast clouds,87,53.39,-2.58,55.0,11.41
468,Santa Maria,96,BR,overcast clouds,79,-29.68,-53.81,60.04,17.18
469,Yurginskoye,89,RU,overcast clouds,95,56.82,67.39,46.06,9.04
470,Fare,0,PF,light rain,78,-16.7,-151.02,79.05,18.92
471,Ushtobe,0,KZ,clear sky,51,45.25,77.98,47.52,6.8
472,Mindelo,20,CV,few clouds,74,16.89,-24.98,80.6,31.09
473,Kadiri,95,IN,overcast clouds,82,14.12,78.17,73.51,11.01
474,Dong Hoi,100,VN,moderate rain,83,17.48,106.6,83.21,7.29
475,Ahipara,10,NZ,clear sky,59,-35.17,173.17,63.0,2.33
476,Kurilsk,76,RU,broken clouds,75,45.23,147.88,55.63,13.4
477,Shache,63,CN,broken clouds,40,38.42,77.24,55.09,9.22
478,Riberalta,57,BO,light rain,71,-10.98,-66.1,78.55,2.98
479,Chany,38,RU,scattered clouds,88,55.31,76.76,45.0,10.02
480,Bardstown,40,US,scattered clouds,93,37.81,-85.47,53.01,2.86
481,Mananjary,97,MG,overcast clouds,91,-21.22,48.33,71.04,3.65
482,Olafsvik,4,IS,clear sky,73,64.89,-23.71,41.68,12.17
483,Leesburg,1,US,clear sky,87,39.12,-77.56,53.01,4.99
484,Dubna,100,RU,overcast clouds,81,56.73,37.17,49.44,5.26
485,Staunton,40,US,scattered clouds,87,38.15,-79.07,50.0,2.68
486,Macau,20,MO,few clouds,74,22.2,113.55,84.2,12.75
487,Pilikwe,68,BW,broken clouds,82,-22.8,27.19,63.12,12.06
488,Pulandian,94,CN,overcast clouds,35,39.4,121.97,69.8,4.47
489,Seydi,0,TM,clear sky,46,39.48,62.91,48.67,2.06
490,Vao,0,NC,clear sky,73,-22.67,167.48,68.67,22.73
491,Bud,90,US,overcast clouds,81,39.45,-86.18,53.01,3.4
492,Mareeba,92,AU,overcast clouds,46,-17.0,145.43,86.0,13.0
493,Ovre Ardal,100,NO,overcast clouds,78,61.32,7.8,47.08,5.79
494,Colares,61,PT,broken clouds,79,38.8,-9.45,61.0,17.63
495,Tuatapere,100,NZ,light rain,52,-46.13,167.68,66.99,14.0
496,Lugazi,20,UG,few clouds,82,0.38,32.92,68.0,4.7
497,Lebu,84,CL,broken clouds,78,-37.62,-73.65,44.91,8.55
498,Baie-Saint-Paul,100,CA,light rain,96,47.44,-70.5,46.0,2.24
499,Lakes Entrance,0,AU,clear sky,28,-37.88,147.98,84.99,3.0
500,Semey,20,KZ,few clouds,100,50.41,80.23,30.2,6.71
501,Beloha,65,MG,broken clouds,84,-25.17,45.05,64.06,10.04
502,Esso,0,RU,clear sky,51,55.93,158.7,47.23,8.34
503,Xuanhua,0,CN,clear sky,35,40.61,115.04,57.15,3.44
504,Lamu,1,KE,clear sky,88,-2.27,40.9,75.2,3.36
505,Anadyr,75,RU,broken clouds,75,64.75,177.48,41.0,11.18
506,Zalesovo,0,RU,clear sky,80,53.99,84.74,37.27,3.87
507,Adrar,0,MR,clear sky,19,20.5,-10.07,86.13,11.36
508,Jizan,0,SA,clear sky,69,17.33,42.67,82.4,4.7
509,Chimore,2,BO,clear sky,48,-16.98,-65.13,80.46,0.78
510,Sutton In Ashfield,100,GB,moderate rain,94,53.13,-1.26,55.99,1.99
511,Never,89,FR,overcast clouds,93,46.99,3.16,48.99,6.93
512,Lom Sak,75,TH,shower rain,94,16.78,101.24,80.6,3.36
513,Byron Bay,40,AU,scattered clouds,56,-28.65,153.62,78.01,11.41
514,Sosnogorsk,31,RU,scattered clouds,81,63.6,53.88,36.95,7.4
515,Rocha,82,UY,broken clouds,71,-34.48,-54.33,44.49,10.89
516,North Bend,1,US,clear sky,93,43.41,-124.22,63.0,16.11
517,Dalbandin,0,PK,clear sky,28,28.89,64.41,64.51,2.35
518,Nagaur,0,IN,clear sky,40,27.2,73.73,80.4,6.82
519,Sabzevar,0,IR,clear sky,40,36.21,57.68,55.54,4.99
520,Puerto Leguizamo,97,CO,moderate rain,93,-0.19,-74.78,73.62,2.21
521,Brandon,1,US,clear sky,78,27.94,-82.29,75.0,3.36
522,Sunrise Manor,1,US,clear sky,5,36.21,-115.07,93.2,3.36
523,Pacifica,20,US,few clouds,72,37.61,-122.49,64.4,11.41
524,Millau,97,FR,light rain,93,44.08,2.92,48.99,13.87
525,Cooma,0,AU,clear sky,12,-36.23,149.13,77.0,17.22
526,Bozova,0,TR,clear sky,45,37.36,38.53,68.0,4.7
527,Rosarito,5,MX,smoke,32,32.33,-117.03,80.6,5.82
528,Onda,0,ES,clear sky,54,39.97,-0.25,55.0,9.42
529,Romny,100,UA,overcast clouds,53,50.75,33.47,57.07,7.47
530,Beaverlodge,75,CA,broken clouds,51,55.22,-119.44,59.0,5.82
531,Namibe,100,AO,overcast clouds,75,-15.2,12.15,63.9,7.09
532,Ndele,68,CF,broken clouds,95,8.41,20.65,69.44,2.3
533,Saint-Augustin,100,CA,overcast clouds,92,51.23,-58.65,53.31,7.07
534,Aripuana,100,BR,moderate rain,98,-9.17,-60.63,70.59,3.71
535,Aksarka,78,RU,broken clouds,88,66.56,67.8,33.42,18.95
536,Soledade,85,BR,overcast clouds,87,-28.82,-52.51,59.14,14.0
537,Dunedin,98,NZ,overcast clouds,48,-45.87,170.5,64.08,9.44
538,Cururupu,40,BR,scattered clouds,90,-1.83,-44.87,76.44,4.38
539,Bogorodskoye,100,RU,overcast clouds,80,56.55,37.88,49.06,6.49
540,Rio Tercero,42,AR,scattered clouds,53,-32.17,-64.11,52.0,1.99
541,Goure,3,NE,clear sky,48,13.98,10.27,85.15,7.92
542,Nuuk,100,GL,light shower snow,85,64.18,-51.72,33.8,5.82
543,Wewak,28,PG,scattered clouds,63,-3.55,143.63,84.54,6.31
544,Husavik,90,IS,snow,92,66.04,-17.34,32.0,3.36
545,Suntar,1,RU,clear sky,74,62.14,117.63,36.01,9.57
546,Jijiga,0,ET,clear sky,88,9.35,42.8,60.78,0.96
547,Gujar Khan,5,PK,smoke,77,33.26,73.3,71.01,4.32
548,Yagodnoye,56,RU,broken clouds,54,62.55,149.67,44.49,5.61
549,Goderich,93,CA,overcast clouds,62,43.75,-81.72,48.99,8.52
550,Takoradi,56,GH,broken clouds,89,4.88,-1.76,75.88,7.34
551,Velasco Ibarra,97,EC,overcast clouds,65,-1.05,-79.62,77.61,7.23
552,Mitsamiouli,79,KM,broken clouds,82,-11.38,43.28,76.33,7.07
553,Aleksandrov Gay,0,RU,clear sky,46,50.15,48.57,51.04,7.58
554,Maraa,83,BR,broken clouds,73,-1.83,-65.37,79.27,1.81
555,Hayden,1,US,clear sky,52,47.77,-116.79,64.4,0.58
556,Bambari,67,CF,broken clouds,95,5.77,20.68,67.95,0.36
557,Shimanovsk,100,RU,light rain,86,52.0,127.7,48.27,8.84
558,Prieska,0,ZA,clear sky,51,-29.66,22.75,47.55,3.58
559,Marsaxlokk,40,MT,scattered clouds,100,35.84,14.54,75.99,13.87
560,Grand Island,90,US,light rain,36,40.92,-98.34,62.6,5.82
561,Osvaldo Cruz,42,BR,scattered clouds,21,-21.8,-50.88,85.82,5.59
562,Sisimiut,100,GL,overcast clouds,94,66.94,-53.67,32.13,8.7
563,Heze,100,CN,light rain,32,35.24,115.44,62.71,3.94
564,Seguin,1,US,clear sky,52,29.57,-97.96,72.0,8.05
565,Grudziadz,57,PL,broken clouds,95,53.48,18.75,57.99,1.01
566,San Quintin,0,MX,clear sky,55,30.48,-115.95,75.43,5.93
567,Mana,54,GF,broken clouds,85,5.66,-53.78,79.66,7.94
568,Chanute,1,US,clear sky,54,37.68,-95.46,55.4,6.93
569,Motomiya,75,JP,broken clouds,73,37.52,140.4,69.8,4.7
570,Verkhnyaya Inta,19,RU,few clouds,95,65.98,60.31,32.94,9.71
571,Alindao,32,CF,scattered clouds,96,5.03,21.21,66.34,1.57
572,Mayo,1,US,clear sky,67,38.89,-76.51,59.0,4.7
573,Mazyr,97,BY,light rain,77,52.05,29.25,54.91,9.86
574,Palmerston,85,AU,overcast clouds,33,-12.49,130.98,89.6,16.11
575,Banamba,97,ML,overcast clouds,79,13.55,-7.45,77.67,6.76
576,Sasolburg,13,ZA,few clouds,87,-26.81,27.82,56.28,10.07
577,Gopalpur,100,IN,overcast clouds,86,19.27,84.92,80.8,8.81
578,Hualmay,65,PE,broken clouds,86,-11.1,-77.61,61.77,9.84
579,Aguazul,90,CO,overcast clouds,84,5.17,-72.55,73.45,2.04
